0/100 background score: 0.00    mIoU: 23.386%   FP: 70.812      FN: 5.803
1/100 background score: 0.01    mIoU: 23.474%   FP: 70.741      FN: 5.786
2/100 background score: 0.02    mIoU: 23.674%   FP: 70.583      FN: 5.744
3/100 background score: 0.03    mIoU: 24.015%   FP: 70.314      FN: 5.671
4/100 background score: 0.04    mIoU: 24.510%   FP: 69.920      FN: 5.570
5/100 background score: 0.05    mIoU: 25.162%   FP: 69.392      FN: 5.446
6/100 background score: 0.06    mIoU: 25.966%   FP: 68.730      FN: 5.305
7/100 background score: 0.07    mIoU: 26.908%   FP: 67.938      FN: 5.154
8/100 background score: 0.08    mIoU: 27.966%   FP: 67.031      FN: 5.003
9/100 background score: 0.09    mIoU: 29.132%   FP: 66.009      FN: 4.858
10/100 background score: 0.10   mIoU: 30.365%   FP: 64.908      FN: 4.726
11/100 background score: 0.11   mIoU: 31.659%   FP: 63.731      FN: 4.610
12/100 background score: 0.12   mIoU: 32.995%   FP: 62.493      FN: 4.513
13/100 background score: 0.13   mIoU: 34.370%   FP: 61.199      FN: 4.431
14/100 background score: 0.14   mIoU: 35.783%   FP: 59.848      FN: 4.369
15/100 background score: 0.15   mIoU: 37.235%   FP: 58.436      FN: 4.329
16/100 background score: 0.16   mIoU: 38.720%   FP: 56.967      FN: 4.313
17/100 background score: 0.17   mIoU: 40.224%   FP: 55.456      FN: 4.320
18/100 background score: 0.18   mIoU: 41.746%   FP: 53.905      FN: 4.348
19/100 background score: 0.19   mIoU: 43.265%   FP: 52.338      FN: 4.397
20/100 background score: 0.20   mIoU: 44.777%   FP: 50.751      FN: 4.472
21/100 background score: 0.21   mIoU: 46.278%   FP: 49.145      FN: 4.578
22/100 background score: 0.22   mIoU: 47.732%   FP: 47.560      FN: 4.708
23/100 background score: 0.23   mIoU: 49.144%   FP: 45.996      FN: 4.859
24/100 background score: 0.24   mIoU: 50.502%   FP: 44.460      FN: 5.038
25/100 background score: 0.25   mIoU: 51.815%   FP: 42.942      FN: 5.243
26/100 background score: 0.26   mIoU: 53.076%   FP: 41.450      FN: 5.473
27/100 background score: 0.27   mIoU: 54.287%   FP: 39.984      FN: 5.728
28/100 background score: 0.28   mIoU: 55.442%   FP: 38.544      FN: 6.014
29/100 background score: 0.29   mIoU: 56.538%   FP: 37.132      FN: 6.330
30/100 background score: 0.30   mIoU: 57.576%   FP: 35.751      FN: 6.673
31/100 background score: 0.31   mIoU: 58.553%   FP: 34.404      FN: 7.043
32/100 background score: 0.32   mIoU: 59.458%   FP: 33.096      FN: 7.446
33/100 background score: 0.33   mIoU: 60.301%   FP: 31.817      FN: 7.882
34/100 background score: 0.34   mIoU: 61.078%   FP: 30.573      FN: 8.350
35/100 background score: 0.35   mIoU: 61.790%   FP: 29.356      FN: 8.854
36/100 background score: 0.36   mIoU: 62.428%   FP: 28.179      FN: 9.393
37/100 background score: 0.37   mIoU: 62.998%   FP: 27.035      FN: 9.968
38/100 background score: 0.38   mIoU: 63.490%   FP: 25.924      FN: 10.586
39/100 background score: 0.39   mIoU: 63.902%   FP: 24.846      FN: 11.252
40/100 background score: 0.40   mIoU: 64.237%   FP: 23.802      FN: 11.961
41/100 background score: 0.41   mIoU: 64.493%   FP: 22.799      FN: 12.708
42/100 background score: 0.42   mIoU: 64.683%   FP: 21.830      FN: 13.487
43/100 background score: 0.43   mIoU: 64.806%   FP: 20.890      FN: 14.304
44/100 background score: 0.44   mIoU: 64.846%   FP: 19.988      FN: 15.166
45/100 background score: 0.45   mIoU: 64.811%   FP: 19.117      FN: 16.072
46/100 background score: 0.46   mIoU: 64.689%   FP: 18.283      FN: 17.028
47/100 background score: 0.47   mIoU: 64.491%   FP: 17.481      FN: 18.028
48/100 background score: 0.48   mIoU: 64.220%   FP: 16.704      FN: 19.076
49/100 background score: 0.49   mIoU: 63.880%   FP: 15.953      FN: 20.167
50/100 background score: 0.50   mIoU: 63.480%   FP: 15.227      FN: 21.292
51/100 background score: 0.51   mIoU: 63.019%   FP: 14.531      FN: 22.450
52/100 background score: 0.52   mIoU: 62.496%   FP: 13.860      FN: 23.644
53/100 background score: 0.53   mIoU: 61.912%   FP: 13.217      FN: 24.872
54/100 background score: 0.54   mIoU: 61.255%   FP: 12.601      FN: 26.143
55/100 background score: 0.55   mIoU: 60.538%   FP: 12.011      FN: 27.451
56/100 background score: 0.56   mIoU: 59.758%   FP: 11.442      FN: 28.800
57/100 background score: 0.57   mIoU: 58.905%   FP: 10.892      FN: 30.203
58/100 background score: 0.58   mIoU: 57.990%   FP: 10.361      FN: 31.649
59/100 background score: 0.59   mIoU: 57.009%   FP: 9.848       FN: 33.143
60/100 background score: 0.60   mIoU: 55.974%   FP: 9.348       FN: 34.678
61/100 background score: 0.61   mIoU: 54.895%   FP: 8.868       FN: 36.238
62/100 background score: 0.62   mIoU: 53.763%   FP: 8.412       FN: 37.825
63/100 background score: 0.63   mIoU: 52.575%   FP: 7.974       FN: 39.450
64/100 background score: 0.64   mIoU: 51.346%   FP: 7.553       FN: 41.101
65/100 background score: 0.65   mIoU: 50.076%   FP: 7.145       FN: 42.779
66/100 background score: 0.66   mIoU: 48.750%   FP: 6.750       FN: 44.501
67/100 background score: 0.67   mIoU: 47.366%   FP: 6.370       FN: 46.264
68/100 background score: 0.68   mIoU: 45.922%   FP: 6.001       FN: 48.076
69/100 background score: 0.69   mIoU: 44.439%   FP: 5.650       FN: 49.912
70/100 background score: 0.70   mIoU: 42.932%   FP: 5.316       FN: 51.752
71/100 background score: 0.71   mIoU: 41.409%   FP: 5.001       FN: 53.590
72/100 background score: 0.72   mIoU: 39.858%   FP: 4.702       FN: 55.439
73/100 background score: 0.73   mIoU: 38.277%   FP: 4.418       FN: 57.305
74/100 background score: 0.74   mIoU: 36.663%   FP: 4.148       FN: 59.188
75/100 background score: 0.75   mIoU: 35.026%   FP: 3.897       FN: 61.077
76/100 background score: 0.76   mIoU: 33.375%   FP: 3.658       FN: 62.967
77/100 background score: 0.77   mIoU: 31.703%   FP: 3.431       FN: 64.866
78/100 background score: 0.78   mIoU: 30.037%   FP: 3.222       FN: 66.741
79/100 background score: 0.79   mIoU: 28.390%   FP: 3.025       FN: 68.585
80/100 background score: 0.80   mIoU: 26.755%   FP: 2.843       FN: 70.402
81/100 background score: 0.81   mIoU: 25.146%   FP: 2.676       FN: 72.177
82/100 background score: 0.82   mIoU: 23.547%   FP: 2.521       FN: 73.932
83/100 background score: 0.83   mIoU: 21.970%   FP: 2.378       FN: 75.651
84/100 background score: 0.84   mIoU: 20.418%   FP: 2.247       FN: 77.336
85/100 background score: 0.85   mIoU: 18.879%   FP: 2.126       FN: 78.995
86/100 background score: 0.86   mIoU: 17.365%   FP: 2.014       FN: 80.621
87/100 background score: 0.87   mIoU: 15.874%   FP: 1.913       FN: 82.214
88/100 background score: 0.88   mIoU: 14.421%   FP: 1.822       FN: 83.757
89/100 background score: 0.89   mIoU: 13.012%   FP: 1.739       FN: 85.249
90/100 background score: 0.90   mIoU: 11.665%   FP: 1.664       FN: 86.672
91/100 background score: 0.91   mIoU: 10.381%   FP: 1.595       FN: 88.023
92/100 background score: 0.92   mIoU: 9.164%    FP: 1.533       FN: 89.302
93/100 background score: 0.93   mIoU: 8.030%    FP: 1.476       FN: 90.495
94/100 background score: 0.94   mIoU: 6.990%    FP: 1.426       FN: 91.584
95/100 background score: 0.95   mIoU: 6.058%    FP: 1.384       FN: 92.558
96/100 background score: 0.96   mIoU: 5.246%    FP: 1.349       FN: 93.406
97/100 background score: 0.97   mIoU: 4.563%    FP: 1.320       FN: 94.117
98/100 background score: 0.98   mIoU: 4.037%    FP: 1.295       FN: 94.667
99/100 background score: 0.99   mIoU: 3.676%    FP: 1.278       FN: 95.047
100/100 background score: 1.00  mIoU: 3.493%    FP: 1.269       FN: 95.238
